step,timestamp,gene_dnaA,gene_rpoB,gene_gyrA,gene_ftsZ,gene_groEL,gene_atpD,gene_tufA,protein_DnaA,protein_RpoB,protein_GyrA,protein_FtsZ,protein_GroEL,protein_AtpD,protein_TufA,metabolite_glucose,metabolite_atp,metabolite_adp,metabolite_nadh,metabolite_amino_acids,pathway_glycolysis,pathway_translation,pathway_replication
44,22.0,6.913311655229895,6.10567766058607,4.942999530901013,4.942999530901013,4.323075816118582,5.464068941683272,6.10567766058607,2.5743129711052486,2.1542682685545262,1.6332839851345726,1.6332839851345726,1.3851966685577277,1.8566464854383278,2.1542682685545262,2.312995029635404,1.6564975148177015,1.0,0.8358756212955747,1.3282487574088506,4.744460737429536,3.7042643582785537,3.7056110196789604
45,22.5,7.020007847779703,6.224565045140475,5.067983285633626,5.067983285633626,4.445784684364964,5.587992141770097,6.224565045140475,2.6210975187444787,2.202168981255312,1.6783193680186845,1.6783193680186845,1.4270814522389654,1.9035139647106638,2.202168981255312,2.280170153894519,1.640085076947259,1.0,0.8399787307631853,1.3200425384736294,4.750438475195652,3.726790600469349,3.730081942298197
46,23.0,7.124605689254245,6.342067247391575,5.192960176997998,5.192960176997998,4.569248911284542,5.71126346797618,6.342067247391575,2.668157785038611,2.2506122133773356,1.7242274040427001,1.7242274040427001,1.4699586024091307,1.951119853174535,2.2506122133773356,2.248165900047156,1.6240829500235776,1.0,0.8439792624941057,1.3120414750117886,4.7562307247788835,3.7493484277601477,3.7545356781965076
47,23.5,7.227035942580187,6.458061524908969,5.317774008848462,5.317774008848462,4.693321178782394,5.833733989371793,6.458061524908969,2.715425794351185,2.299533140831193,1.7709603840617767,1.7709603840617767,1.513793701758234,1.999407210250103,2.299533140831193,2.216961752545977,1.608480876272988,1.0,0.8478797809317531,1.3042404381364938,4.7618375332051786,3.7719173173085583,3.778946754792431
48,24.0,7.327237497132467,6.572431807856869,5.4422691072449645,5.4422691072449645,4.817850919285477,5.955258427546624,6.572431807856869,2.7628354420619377,2.3488672789860554,1.818469092539812,1.818469092539812,1.5585502896524592,2.0483183104262634,2.3488672789860554,2.1865377087323274,1.5932688543661633,1.0,0.8516827864084593,1.2966344271830814,4.76725981546897,3.7944773415600688,3.8032906696901665
49,24.5,7.42515732529217,6.685069098905069,5.566291097428849,5.566291097428849,4.9426850278474515,6.075695834229629,6.685069098905069,2.8103226030911452,2.398550642509379,1.8667029153485426,1.8667029153485426,1.6041899008660225,2.097794790760691,2.398550642509379,2.1568742660140194,1.5784371330070093,1.0,0.8553907167482478,1.2892185665035043,4.772499233276032,3.8170091260918726,3.827543875443487
50,25.0,7.5207503850300785,6.7958718095646455,5.689687669393713,5.689687669393713,5.067668602817287,6.194910226590734,6.7958718095646455,2.85782523256234,2.4485199056230265,1.9156099613159583,1.9156099613159583,1.6506721208931536,2.147777806887425,2.4485199056230265,2.127952409363669,1.563976204681834,1.0,0.8590059488295416,1.2819881023409168,4.777558084937066,3.839493818169281,3.851683769145809
51,25.5,7.613979472511932,6.9047460317827,5.812309323987145,5.812309323987145,5.192645707618251,6.312771174342679,6.9047460317827,2.9052834577470215,2.4987125611364425,1.965137196349839,1.965137196349839,1.6979546575389521,2.1982081959016204,2.4987125611364425,2.0997535991295773,1.5498767995647882,1.0,0.8625308001088031,1.2749383997823938,4.782439205946769,3.8619130652569678,3.875688686227687
52,26.0,7.704815029098364,7.011605744554741,5.934010091797962,5.934010091797962,5.317460145774932,6.429154333561754,7.011605744554741,2.9526396605871295,2.549067076693489,2.015230588827296,2.015230588827296,1.7459934283063778,2.2490266444455833,2.549067076693489,2.0722597591513376,1.5361298795756684,1.0,0.8659675301060831,1.2680649397878339,4.787145879684983,3.884249002575838,3.899537897755159
53,26.5,7.793234907390182,7.116372956197113,6.05464821754006,6.05464821754006,5.441956241054155,6.543941923016062,7.116372956197113,2.9998385502425275,2.5995230467637422,2.065835264824433,2.065835264824433,1.7947426629174128,2.3001738602987056,2.5995230467637422,2.0454532651725543,1.5227266325862767,1.0,0.869318341853431,1.261363316293138,4.7916817576132695,3.906484248691765,3.9232116104748944
54,27.0,7.879224101150866,7.2189777837485005,6.174086803226258,6.174086803226258,5.565979614459121,6.657023139707829,7.2189777837485005,3.0468272252591726,2.6500213390192675,2.1168956716638676,2.1168956716638676,1.8441550201330201,2.351590745776466,2.6500213390192675,2.0193169335432404,1.5096584667716197,1.0,0.8725853833070952,1.2548292333858095,4.796050788304946,3.9286019080588024,3.946690968838544
55,27.5,7.962774444027626,7.319358471724653,6.292194404118708,6.292194404118708,5.689377949839205,6.768294511280193,7.319358471724653,3.0935552250969045,2.7005042338614205,2.1683557481836417,2.1683557481836417,1.8941817178723492,2.403218571269648,2.7005042338614205,1.9938340102046594,1.4969170051023293,1.0,0.8757707487244178,1.2484585025511643,4.800257154633366,3.9505855794109075,3.9699580582531513
56,28.0,8.043884281996709,7.417461353122849,6.408845572228529,6.408845572228529,5.812001740050582,6.877660183887075,7.417461353122849,3.139974570891977,2.7509155559964205,2.220159100080173,2.220159100080173,1.9447726754799963,2.4549991473033423,2.7509155559964205,1.968988159949543,1.484494079974771,1.0,0.8788764800063074,1.2422470399873853,4.804305218446855,3.972419368897397,3.9929959088411513
57,28.5,8.122558124385776,7.513240756153635,6.523921342996589,6.523921342996589,5.9337050059213565,6.985032145056301,7.513240756153635,3.1860397954570225,2.8012007971004405,2.272249178651079,2.272249178651079,1.9958766668540304,2.506874993564583,2.8012007971004405,1.9447634559508042,1.4723817279754017,1.0,0.8819045680061497,1.2361908639877006,4.8081994720750645,3.9940879068834363,4.0157884990475345
58,29.0,8.198806278184938,7.6066588606616765,6.637309661698386,6.637309661698386,6.054345980730943,7.090330381971767,7.6066588606616765,3.231707962638795,2.8513072287619603,2.3245694612609844,2.3245694612609844,2.0474414830296026,2.558789503435648,2.8513072287619603,1.921144369552034,1.4605721847760167,1.0,0.8848569538059959,1.2302860923880081,4.811944496037047,4.0155763673832565,4.038320758498343
59,29.5,8.272644470158161,7.697685508582346,6.748905747056932,6.748905747056932,6.173787753495525,7.193482976442795,7.697685508582346,3.2769386762608095,2.901184005038421,2.3770636318743583,2.3770636318743583,2.0994141027155107,2.610687102674935,2.901184005038421,1.8981157603132333,1.4490578801566163,1.0,0.887735529960846,1.224528940078308,4.815544922353231,4.036870489156524,4.060578569589919
60,30.0,8.344093461017877,7.78629797306627,6.8586123904964875,6.8586123904964875,6.291898865044245,7.2944261386030735,7.78629797306627,3.321694078973216,2.9507822541131565,2.4296757600430525,2.4296757600430525,2.1517408692058413,2.662513401006265,2.9507822541131565,1.8756628663054025,1.437831433152701,1.0,0.8905421417118249,1.2189157165763502,4.81900540289945,4.057956597573509,4.082548767368599
61,30.5,8.413178655637765,7.872480691092703,6.966340190405952,6.966340190405952,6.408553851656732,7.3931041820755485,7.872480691092703,3.3659388414154994,3.000055158684816,2.4823504768010487,2.4823504768010487,2.2043676720369674,2.7142153355078404,3.000055158684816,1.8537712946477674,1.4268856473238833,1.0,0.8932785881690293,1.2134428236619414,4.822330582279422,4.078821626439182,4.104219137342816
62,31.0,8.479929712961258,7.956224964489201,7.072007721683923,7.072007721683923,6.523633731891647,7.489469443944211,7.956224964489201,3.409640142168756,3.0489580248628054,2.5350331460030944,2.5350331460030944,2.2572401317324102,2.7657413048310535,3.0489580248628054,1.8324270122815731,1.4162135061407863,1.0,0.8959466234648036,1.2081067530703928,4.825525074731239,4.099453139056996,4.125578410951303
